Province,District,LocalLevel,Ward,Population2021,Female,Density,SourceFile
8,Bagmati ,MarinGaunpalika,5,2860,1443,88.9401134185473,WardPopulationBagmati.xlsx
8,Bagmati ,MarinGaunpalika,6,4354,2183,111.78055643714,WardPopulationBagmati.xlsx
8,Bagmati ,MarinGaunpalika,7,4739,2453,165.583207186346,WardPopulationBagmati.xlsx
2,Bagmati ,PhikkalGaunpalika,1,3715,1878,95.5918469495021,WardPopulationBagmati.xlsx
2,Bagmati ,PhikkalGaunpalika,2,2273,1173,85.2191363413576,WardPopulationBagmati.xlsx
2,Bagmati ,PhikkalGaunpalika,3,2554,1309,85.6997458066349,WardPopulationBagmati.xlsx
2,Bagmati ,PhikkalGaunpalika,4,2586,1305,120.090148414427,WardPopulationBagmati.xlsx
2,Bagmati ,PhikkalGaunpalika,5,1995,1027,64.1273088121433,WardPopulationBagmati.xlsx
2,Bagmati ,PhikkalGaunpalika,6,2787,1431,73.1628082495201,WardPopulationBagmati.xlsx
12,Bagmati ,SunkoshiGaunpalika,1,2576,1291,194.029670872651,WardPopulationBagmati.xlsx
12,Bagmati ,SunkoshiGaunpalika,2,1669,878,75.6299227138318,WardPopulationBagmati.xlsx
12,Bagmati ,SunkoshiGaunpalika,3,2641,1343,283.59947764434,WardPopulationBagmati.xlsx
12,Bagmati ,SunkoshiGaunpalika,4,1890,999,71.8752710772046,WardPopulationBagmati.xlsx
12,Bagmati ,SunkoshiGaunpalika,5,4109,2099,127.342419489235,WardPopulationBagmati.xlsx
12,Bagmati ,SunkoshiGaunpalika,6,3571,1921,136.412535956794,WardPopulationBagmati.xlsx
12,Bagmati ,SunkoshiGaunpalika,7,1919,1010,75.8941029293304,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,1,3468,1769,88.646851062171,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,2,3531,1793,165.617730918889,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,3,2196,1146,88.2219162041243,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,4,3114,1610,182.901043135044,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,5,3578,1890,113.452167450072,WardPopulationBagmati.xlsx
3,Bagmati ,TinpatanGaunpalika,6,3953,2004,115.677452284441,WardPopulationBagmati.xlsx
